epoch,train_loss,train_acc,val_loss,val_acc,lr
1,2.0180,0.3941,1.8174,0.3592,0.000100
2,0.5273,0.7752,1.5763,0.4898,0.000100
3,0.2212,0.9097,1.3195,0.5837,0.000100
4,0.1300,0.9540,1.1721,0.6163,0.000100
5,0.1346,0.9557,1.0353,0.6408,0.000100
6,0.0714,0.9783,1.0446,0.6653,0.000100
7,0.0482,0.9835,1.1614,0.6367,0.000100
8,0.0377,0.9905,1.1744,0.6286,0.000100
9,0.0454,0.9878,1.1613,0.6490,0.000050
10,0.0318,0.9913,1.1353,0.6571,0.000050
